[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | SQL: SELECT `id`,`subject`,`author`,`createtime`,`lastmodifytime`,`sum` FROM `think_news` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000547s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_template ] --START--
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001502s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001731s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
